OTUID	BacDupRt8	BacDupSoil16	BacRt25	BacRt26	BacRt27	BacRt28	BacRt29	BacRt30	BacRt31	BacRt32	BacRt33	BacRt34	BacRt35	BacRt36	BacRt37	BacRt38	BacRt39	BacRt40	BacRt41	BacRt42	BacRt43	BacRt44	BacRt45	BacRt46	BacRt47	BacRt48	BacRt49	BacRt50	BacRt51	BacRt52	BacRt53	BacRt54	BacRt55	BacRt56	BacRt57	BacRt58	BacRt59	BacRt60	BacRt61	BacRt62	BacRtNTC1	BacRtNTC2	BacRtNTC3	BacRtNTC4	BacRtNTC5	BacSoil1	BacSoil10	BacSoil11	BacSoil12	BacSoil13	BacSoil14	BacSoil15	BacSoil16	BacSoil17	BacSoil18	BacSoil19	BacSoil2	BacSoil20	BacSoil21	BacSoil22	BacSoil23	BacSoil24	BacSoil25	BacSoil26	BacSoil27	BacSoil28	BacSoil29	BacSoil3	BacSoil30	BacSoil31	BacSoil32	BacSoil33	BacSoil34	BacSoil35	BacSoil36	BacSoil37	BacSoil38	BacSoil39	BacSoil4	BacSoil40	BacSoil41	BacSoil42	BacSoil43	BacSoil44	BacSoil45	BacSoil46	BacSoil47	BacSoil48	BacSoil49	BacSoil5	BacSoil50	BacSoil51	BacSoil52	BacSoil53	BacSoil54	BacSoil55	BacSoil56	BacSoil57	BacSoil58	BacSoil59	BacSoil6	BacSoil60	BacSoil61	BacSoil62	BacSoil7	BacSoil8	BacSoil9	BacSoilNTC1	BacSoilNTC2
b37fe73c41e8b3e23ff6d7a61ce39c14	669	0	55	215	70	64	111	75	424	546	488	155	231	1004	97	165	482	0	58	120	241	180	395	143	896	1678	694	359	0	51	78	0	1288	257	369	421	200	582	266	523	43	119	0	0	60	0	0	0	0	0	0	64	0	0	51	0	68	0	17	0	0	66	48	66	69	0	31	46	0	107	0	70	24	34	40	0	0	0	0	0	0	38	0	0	0	0	0	45	41	47	0	29	0	0	170	0	36	0	0	0	75	65	33	36	0	59	0	0	0
3635b20747f80d64c1c57e5c96aeb604	146	161	1331	163	99	124	360	820	120	168	70	109	121	150	17	297	226	312	638	153	68	79	66	143	103	202	255	92	71	67	63	31	498	219	240	313	250	259	760	183	71	109	100	346	205	0	0	0	0	0	34	62	46	43	126	0	16	0	0	12	25	31	54	55	48	10	68	11	24	57	42	36	35	50	29	32	38	24	0	24	38	41	46	32	59	0	27	87	53	44	39	31	22	31	56	38	44	24	32	42	49	56	0	46	0	0	12	0	0
22f3e4c522e9c58509b377496fd0c460	191	351	493	599	769	598	585	688	232	247	90	125	111	124	276	194	272	314	204	191	114	0	134	87	103	155	406	250	170	183	217	356	156	139	182	205	196	115	93	121	239	134	479	215	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5825b5cce78ced42fb11e5fe0fcfaf22	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	201	189	165	406	384	243	151	209	163	402	358	259	412	220	158	258	268	237	0	0	142	254	71	307	252	109	126	104	0	143	112	94	236	189	166	94	97	90	152	0	124	121	205	227	215	196	59	129	132	271	236	95	113	107	139	99	142	88	524	360	236	0	0
0951d2cbe7f223cca746d73bcfb565f6	323	134	103	211	218	0	447	297	117	102	251	200	167	185	91	119	275	117	0	82	130	215	131	172	148	271	43	163	116	176	261	0	160	144	218	127	455	151	266	208	132	108	0	0	119	0	0	0	0	0	0	170	100	74	147	0	77	0	67	103	0	109	89	148	108	20	183	126	59	96	108	127	74	105	57	30	67	57	127	84	131	64	78	0	0	35	32	119	90	86	0	0	55	65	107	0	57	54	74	35	61	59	0	67	0	0	78	0	0
f5f6a3851b756bc8a75d86c5d0f94a5e	218	240	127	191	187	147	184	157	0	0	161	216	238	108	337	413	352	360	281	286	229	173	245	233	102	187	273	336	308	260	394	265	163	149	235	211	238	260	198	273	277	128	404	304	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ce181c5949a7b927d16791a6f7cab8d	0	195	394	103	18	84	216	120	309	164	92	185	335	314	37	193	162	0	104	57	708	158	94	132	232	442	92	26	0	0	63	0	535	705	45	261	78	90	373	187	27	57	0	92	0	102	68	65	39	82	56	95	31	58	81	61	74	46	99	83	51	104	53	66	28	0	38	38	21	101	62	36	32	29	29	39	31	33	64	35	38	48	0	0	59	0	0	38	57	102	91	0	0	40	65	51	69	30	25	26	43	45	59	48	87	91	20	0	0
7476eb586e75e15863471283e67dcf3d	30	0	228	102	0	0	0	0	652	391	67	0	0	134	0	0	0	0	0	0	243	129	173	82	98	125	0	0	0	0	0	0	251	888	188	107	0	463	317	107	39	0	0	324	0	35	0	0	0	0	0	53	0	0	25	0	0	0	0	15	0	0	21	46	33	0	29	0	0	21	19	46	0	0	24	0	0	35	0	0	0	0	12	30	13	0	0	0	33	0	65	0	10	0	0	25	43	0	0	0	0	29	0	0	0	0	0	0	4026
6a5b1acc1f3d996ac18a78c3e5afa859	0	0	71	7	0	0	0	33	134	185	21	19	313	178	0	0	0	0	92	0	369	131	48	0	272	330	10	20	0	0	687	0	187	450	96	302	862	394	218	232	52	193	0	632	12	0	0	24	12	0	9	0	0	25	45	20	0	0	0	0	41	61	47	72	0	0	130	0	0	130	60	21	40	311	54	53	82	31	0	0	14	41	25	63	16	0	0	170	125	0	325	52	33	20	294	32	126	31	28	15	0	182	26	46	0	0	0	0	0
b9004fa62be94b62a196eb3cbb03f04f	0	0	440	0	0	499	411	629	140	96	89	466	458	492	177	262	143	483	433	140	165	0	190	621	387	665	0	0	0	0	0	0	706	232	0	139	61	93	260	109	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
